wavelength_um,emissivity_d0.5um,emissivity_d5um,emissivity_d20um,emissivity_d50um,emissivity_d100um,emissivity_d200um
18.550000,0.022220,0.141128,0.487186,0.778073,0.933657,0.968492
18.600000,0.022769,0.144287,0.495595,0.785044,0.937131,0.968742
18.650000,0.023339,0.147559,0.504124,0.792184,0.940351,0.968977
18.700000,0.023932,0.150952,0.512783,0.799483,0.943296,0.969187
18.750000,0.024549,0.154473,0.521577,0.806922,0.945962,0.969361
18.800000,0.025192,0.158127,0.530511,0.814474,0.948358,0.969498
18.850000,0.025861,0.161919,0.539584,0.822105,0.950503,0.969599
18.900000,0.026559,0.165852,0.548793,0.829775,0.952424,0.969670
18.950000,0.027285,0.169927,0.558130,0.837437,0.954150,0.969716
19.000000,0.028040,0.174145,0.567582,0.845045,0.955707,0.969741
19.050000,0.028825,0.178503,0.577133,0.852548,0.957120,0.969747
19.100000,0.029639,0.182995,0.586764,0.859898,0.958406,0.969736
19.150000,0.030481,0.187615,0.596451,0.867047,0.959578,0.969706
19.200000,0.031351,0.192354,0.606164,0.873951,0.960643,0.969656
19.250000,0.032248,0.197200,0.615872,0.880571,0.961604,0.969585
19.300000,0.033169,0.202137,0.625541,0.886873,0.962462,0.969492
19.350000,0.034112,0.207148,0.635132,0.892828,0.963215,0.969376
19.400000,0.035075,0.212212,0.644605,0.898414,0.963864,0.969236
19.450000,0.036052,0.217306,0.653916,0.903615,0.964407,0.969073
19.500000,0.037042,0.222404,0.663021,0.908421,0.964847,0.968886
19.550000,0.038038,0.227475,0.671874,0.912828,0.965186,0.968674
19.600000,0.039035,0.232488,0.680429,0.916837,0.965429,0.968437
19.650000,0.040027,0.237409,0.688641,0.920452,0.965580,0.968176
19.700000,0.041008,0.242201,0.696464,0.923682,0.965646,0.967890
19.750000,0.041970,0.246825,0.703855,0.926539,0.965633,0.967579
19.800000,0.042905,0.251244,0.710774,0.929038,0.965549,0.967244
19.850000,0.043806,0.255415,0.717181,0.931193,0.965400,0.966886
19.900000,0.044663,0.259301,0.723041,0.933022,0.965193,0.966505
19.950000,0.045468,0.262861,0.728322,0.934543,0.964935,0.966105
20.000000,0.046213,0.266059,0.732996,0.935772,0.964632,0.965687
20.050000,0.046890,0.268860,0.737039,0.936726,0.964291,0.965252
20.100000,0.047490,0.271233,0.740431,0.937422,0.963916,0.964805
20.150000,0.048006,0.273150,0.743155,0.937874,0.963514,0.964347
20.200000,0.048432,0.274587,0.745199,0.938096,0.963090,0.963882
20.250000,0.048763,0.275529,0.746553,0.938099,0.962649,0.963414
20.300000,0.048994,0.275961,0.747212,0.937893,0.962194,0.962945
20.350000,0.049123,0.275880,0.747173,0.937487,0.961731,0.962480
20.400000,0.049147,0.275283,0.746437,0.936885,0.961262,0.962021
